%% LaTeX2e file `data4.dat'
%% generated by the `filecontents' environment
%% from source `dissertation' on 2014/04/28.
%%
a b c d e f g h
44.619999 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
45.324001 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
45.389 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
45.457001 1 1.811157 2.499908 3 3.001989 3.002917 3.0038
47.953999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
48.014999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
48.799 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
48.855999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
49.459 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
50.571999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
51.292999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
51.539001 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
52.023998 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
55.383999 1 1.811254 2.499908 3 3.001989 3.002917 3.0038
56.009998 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
56.132 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
58.824001 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
59.063 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
59.686001 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
60.973999 0.815149 1.504904 2.160932 2.754822 3.27247 3.684988 4.060326
61.970001 1 1.999955 2.994917 3.951705 4.9008 5.813808 6.711153
62.085999 1 1.999955 2.994917 3.951705 4.9008 5.813808 6.711153
67.675003 1 1.999954 2.994927 3.951754 4.900841 5.813771 6.711095
70.528 1 1.999954 2.994927 3.951754 4.900841 5.813771 6.711095
74.498001 1 1.999954 2.994927 3.951754 4.900841 5.813771 6.711095
75.097 1 1.999961 2.994984 3.951934 4.901186 5.814215 6.711648
75.814003 1 1.999961 2.994984 3.951934 4.901186 5.814215 6.711648
75.894997 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
77.392998 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
79.167 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
81.098 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
81.399002 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
83.089996 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
83.204002 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
83.309998 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
84.041 1 1.999959 2.99497 3.951968 4.901189 5.814225 6.711688
87.849998 0.999999 1.999896 2.995306 3.956455 4.910328 5.827664 6.727467
89.578003 0.999772 1.995241 2.98641 3.92295 4.847606 5.726704 6.590399
89.976997 0.999988 1.998661 2.996753 3.976163 4.926487 5.845864 6.749582
90.785004 0.999989 1.998647 2.99672 3.976076 4.926419 5.845845 6.749622
90.864998 0.999989 1.998647 2.99672 3.976076 4.926419 5.845845 6.749622
91.540001 0.999988 1.998654 2.99673 3.976103 4.926441 5.845815 6.749583
91.904999 0.999988 1.998654 2.99673 3.976103 4.926441 5.845815 6.749583
93.735001 0.999989 1.998662 2.996755 3.97616 4.926514 5.845946 6.749667
96.262001 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
96.332001 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
96.695 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
100.563004 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
100.886002 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
101.322998 0.999961 1.997809 2.994711 3.977243 4.936738 5.862638 6.766402
102.389 0.999959 1.997833 2.994745 3.977299 4.936746 5.862463 6.76605
103.074997 0.999958 1.997822 2.994721 3.977265 4.936733 5.862523 6.766205
106.283997 0.999988 1.997531 2.986296 3.928189 4.839835 5.730131 6.602285
109.688004 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
110.069 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
110.404999 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
111.401001 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
111.802002 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
112.954002 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
115.510002 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
116.295998 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
116.440002 0.999992 1.999954 2.995387 3.951396 4.899753 5.809806 6.703767
119.925003 0.999964 1.996447 2.98915 3.963594 4.927029 5.878133 6.821187
120.720001 0.999973 1.999244 2.998345 3.987358 4.963786 5.920783 6.868531
124.549004 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
124.841003 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
125.055 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
125.203003 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
125.568001 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
125.625 1 1.999854 2.999504 3.993606 4.987456 5.979388 6.968528
130.149002 0.999999 1.999998 2.999992 3.998883 4.997475 5.99485 6.990294
131.914993 0.99994 1.999872 2.999543 3.993928 4.987985 5.976484 6.96193
134.604996 0.99994 1.999872 2.999543 3.993928 4.987985 5.976484 6.96193
135.192001 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
135.315002 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
135.496002 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
139.322998 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
139.427994 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
145.748993 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
145.895004 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
151.283997 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
156.259995 0.99995 1.999693 2.998758 3.987401 4.973052 5.953156 6.932007
160.330002 0.999998 1.999947 2.999626 3.995866 4.991266 5.984053 6.975055
160.682007 0.999998 1.999947 2.999626 3.995866 4.991266 5.984053 6.975055
160.860001 0.999998 1.999947 2.999626 3.995866 4.991266 5.984053 6.975055
164.397995 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
164.464005 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
164.623001 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
164.938004 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
165.106003 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
165.792999 0.999993 1.999971 2.999763 3.996209 4.991205 5.982234 6.971268
170.348007 0.999939 1.999879 2.999447 3.996562 4.991939 5.983527 6.973878
171.639008 0.999939 1.999879 2.999447 3.996562 4.991939 5.983527 6.973878
178.516998 0.999997 1.999988 2.999908 3.995031 4.98753 5.973592 6.957984
191.606003 0.999997 1.999988 2.999908 3.995031 4.98753 5.973592 6.957984
191.785004 0.999997 1.999988 2.999908 3.995031 4.98753 5.973592 6.957984
196.289993 0.999997 1.999988 2.999908 3.995031 4.98753 5.973592 6.957984
199.141998 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
202.384003 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
202.826004 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
202.919006 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
205.296005 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
212.990997 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
217.656006 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
219.501007 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
233.339005 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
249.112 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
250.738007 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
250.794998 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
255.720001 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
263 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
263.34201 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
263.614014 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
273.286987 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
277.126007 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
277.203003 0.999067 1.997603 2.995921 3.994082 4.989692 5.982666 6.971053
277.605011 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
283.580994 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
296.061005 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
306.69101 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
310.354004 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
318.44101 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
320.255005 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
321.157013 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
321.700012 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
321.941986 0.99951 1.998133 2.996415 3.994471 4.990036 5.982791 6.971712
322.078003 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
322.912994 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
332.03299 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
338.834015 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
338.903015 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
340.708008 0.999555 1.998207 2.996509 3.994597 4.990275 5.983195 6.972361
340.877014 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
354.384003 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
354.459991 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
362.644012 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
371.123993 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
371.375 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
379.88501 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
384.619995 0.999947 1.998967 2.997853 3.996491 4.993289 5.9869 6.976839
394.36499 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
407.100006 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
407.940002 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
412.709015 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
420.131989 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
432.546997 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
432.673004 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
433.075989 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
440.769989 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
440.901001 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
456.673004 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
458.161011 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
467.721985 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
468.839996 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
498.631012 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
498.877991 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
507.074005 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
529.937988 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
543.669006 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
550.661987 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
562.653015 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
564.314026 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
570.039978 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
586.422974 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
604.356018 0.99999 1.999885 2.999702 3.999402 4.998358 5.996487 6.992735
622.836975 0.999976 1.999949 2.999804 3.999331 4.998732 5.996929 6.99367
622.911011 0.999976 1.999949 2.999804 3.999331 4.998732 5.996929 6.99367
624.599976 0.999975 1.999923 2.999861 3.999666 4.999131 5.998094 6.99607


